정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
KUB352000962,내단2리,36.0679,129.2182667,2025-10-31,6017,37020,경상북도 경주시,경주BIS
KUB352000963,기계,36.06983333,129.2107667,2025-10-31,6009,37020,경상북도 경주시,경주BIS
KUB352000964,내단2리,36.0681,129.21805,2025-10-31,6016,37020,경상북도 경주시,경주BIS
KUB352000965,내단1리,36.06203333,129.23015,2025-10-31,6015,37020,경상북도 경주시,경주BIS
KUB352000966,내단3리,36.05955,129.2385667,2025-10-31,6018,37020,경상북도 경주시,경주BIS
KUB352000967,달성사거리,36.0577,129.24325,2025-10-31,5089,37020,경상북도 경주시,경주BIS
KUB352000968,베델기도원.달성교,36.0515,129.23785,2025-10-31,5130,37020,경상북도 경주시,경주BIS
KUB352000969,화룡사앞,36.04308333,129.2333667,2025-10-31,5323,37020,경상북도 경주시,경주BIS
KUB352000970,노당1리,36.03748333,129.23045,2025-10-31,5070,37020,경상북도 경주시,경주BIS
KUB352000971,노당주유소,36.03335,129.2293,2025-10-31,5074,37020,경상북도 경주시,경주BIS
KUB352000972,노당2리.초제마을,36.02821667,129.2279667,2025-10-31,5072,37020,경상북도 경주시,경주BIS
KUB352000973,경주안전체험관,36.02183333,129.2264667,2025-10-31,5200,37020,경상북도 경주시,경주BIS
KUB352000974,육통입구,36.01861667,129.22655,2025-10-31,5271,37020,경상북도 경주시,경주BIS
KUB352000975,흥덕왕릉입구,36.01023333,129.2268,2025-10-31,5341,37020,경상북도 경주시,경주BIS
KUB352000976,새창마을,36.00316667,129.2271833,2025-10-31,5163,37020,경상북도 경주시,경주BIS
KUB352000977,양월2리,36.00006667,129.2277667,2025-10-31,5227,37020,경상북도 경주시,경주BIS
KUB352000978,안강동부정류장,35.99321667,129.2285167,2025-10-31,5198,37020,경상북도 경주시,경주BIS
KUB352000979,안강우체국,35.99213333,129.2245,2025-10-31,5207,37020,경상북도 경주시,경주BIS
KUB352000980,시장입구,35.99245,129.22245,2025-10-31,5178,37020,경상북도 경주시,경주BIS
KUB352000981,안강LH아파트,35.99361667,129.2153167,2025-10-31,5211,37020,경상북도 경주시,경주BIS
KUB352000982,제일초등학교,35.99278333,129.2202,2025-10-31,5280,37020,경상북도 경주시,경주BIS
